Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450080814;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;ROUTE DE LA FALUERE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.440338277536059, 48.82918793947953], ""type"": ""Point""}";48.82918793947953, 2.440338277536059
450080167;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;OUI;;;;"{""coordinates"": [2.374225451779799, 48.76636186286777], ""type"": ""Point""}";48.76636186286777, 2.374225451779799
450080172;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;OUI;;;;"{""coordinates"": [2.3762088133788644, 48.762125561481575], ""type"": ""Point""}";48.762125561481575, 2.3762088133788644
450080272;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;OUI;;;;"{""coordinates"": [2.409593868169695, 48.90673931748723], ""type"": ""Point""}";48.90673931748723, 2.409593868169695
450080183;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;OUI;;;;"{""coordinates"": [2.372990652906109, 48.76256173046548], ""type"": ""Point""}";48.76256173046548, 2.372990652906109
450080293;FONTAINE_BOIS;;;;CIMETIERE PARISIEN D'IVRY;IVRY-SUR-SEINE;OUI;;;;"{""coordinates"": [2.368210299065339, 48.81324972142104], ""type"": ""Point""}";48.81324972142104, 2.368210299065339
450080205;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;OUI;;;;"{""coordinates"": [2.3797739563237124, 48.75816878041161], ""type"": ""Point""}";48.75816878041161, 2.3797739563237124
450080216;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;OUI;;;;"{""coordinates"": [2.3498484136327695, 48.90462182666395], ""type"": ""Point""}";48.90462182666395, 2.3498484136327695
450019326;FONTNE_WALLACE;Brumisante;;31F;RUE JULIETTE DODU;PARIS 10EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.368527226672069, 48.875979574590154], ""type"": ""Point""}";48.875979574590154, 2.368527226672069
450070434;FONTNE_WALLACE;Brumisante;16F;;RUE DES MURIERS;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3911524102765687, 48.864982074609046], ""type"": ""Point""}";48.864982074609046, 2.3911524102765687
